Player,Team,Season,SeasonType,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FGPer,3PTM,3PTA,3PTPer,FTM,FTA,FTPer
Evric Gray,Nets,1996-1997,REG,5,8.6,2.6,0.2,0.4,0.6,0.4,0.2,0,0.6,1,0.8,3,0.267,0.2,0.8,0.25,0.8,0.8,1
Todd Fuller,Jazz,1998-1999,POFF,10,10.33,2.6,0.8,2,2.8,0,0,0.2,0.5,2.1,1,2.6,0.385,0,0,0,0.6,1,0.6
Jamel Thomas,Nets,2000-2001,REG,5,11.27,2.6,0.8,1,1.8,0,0.6,0,1.2,1.2,1.2,3.8,0.316,0.2,0.6,0.333,0,0,0
Jason Hart,Spurs,2001-2002,REG,10,9.24,2.6,0.4,0.9,1.3,1.2,0.7,0.1,0.8,1.6,1,1.9,0.526,0,0.2,0,0.6,0.6,1
Greg Buckner,76ers,2002-2003,POFF,10,11,2.6,0.3,1.4,1.7,0.3,0.1,0.2,0.3,1.8,1,3.1,0.323,0.2,0.9,0.222,0.4,0.4,1
Sean Williams,Nets,2009-2010,REG,20,11.37,2.6,1.05,1.25,2.3,0.05,0.4,0.95,1,2.05,1.05,2.45,0.429,0,0.05,0,0.5,0.95,0.526
Joel Anthony,Heat,2009-2010,POFF,5,15.71,2.6,1.2,0.6,1.8,0.2,0.4,1,0.2,1.8,1,1.4,0.714,0,0,0,0.6,0.8,0.75
Jimmy Butler,Bulls,2011-2012,REG,42,8.55,2.6,0.55,0.79,1.33,0.33,0.26,0.12,0.33,0.48,0.76,1.88,0.405,0.05,0.26,0.182,1.02,1.33,0.768
Ivan Johnson,Hawks,2011-2012,POFF,5,10.89,2.6,1.4,2,3.4,0,0.6,0,0.6,1.4,1,3.2,0.313,0,0.2,0,0.6,1,0.6
Vladimir Stepania,SuperSonics,1999-2000,REG,29,7.01,2.59,0.72,0.9,1.62,0.1,0.34,0.38,0.76,1.52,1,2.69,0.372,0,0.21,0,0.59,1.24,0.472
Mike James,"Celtics, Pistons",2003-2004,POFF,22,8.79,2.59,0.32,0.86,1.18,1.09,0.23,0,0.68,1.05,0.95,2.41,0.396,0.27,0.64,0.429,0.41,0.73,0.562
Justin Reed,Timberwolves,2006-2007,REG,41,7.76,2.59,0.37,0.76,1.12,0.41,0.12,0.07,0.54,1.07,0.98,2.61,0.374,0,0,0,0.63,0.73,0.867
Patrick O'Bryant,"Celtics, Raptors",2008-2009,REG,39,6.53,2.59,0.33,1.36,1.69,0.28,0.15,0.49,0.56,1.56,1.15,2.15,0.536,0,0.05,0,0.28,0.51,0.55
Brian Cardinal,Mavericks,2010-2011,REG,56,11.04,2.59,0.18,0.88,1.05,0.71,0.43,0.13,0.3,1.46,0.77,1.79,0.43,0.75,1.55,0.483,0.3,0.32,0.945
Othella Harrington,Bobcats,2006-2007,REG,26,8.47,2.58,0.5,0.96,1.46,0.23,0.04,0.04,0.58,1.88,0.96,2.15,0.446,0,0,0,0.65,0.85,0.773
Lorenzen Wright,Hawks,2006-2007,REG,67,15.46,2.58,1.27,1.96,3.22,0.6,0.42,0.42,0.58,3.04,1.22,2.73,0.448,0,0,0,0.13,0.48,0.281
Jannero Pargo,Lakers,2002-2003,REG,33,10.27,2.58,0.27,0.85,1.12,1.18,0.39,0.06,0.7,1.36,1.12,2.82,0.398,0.21,0.73,0.292,0.12,0.12,1
Kostas Papanikolaou,Nuggets,2015-2016,REG,26,11.31,2.58,0.31,1.23,1.54,0.62,0.5,0.19,0.81,0.92,0.92,2.54,0.364,0.38,1.23,0.312,0.35,0.54,0.643
Corie Blount,Lakers,1997-1998,POFF,12,17.41,2.58,2,3.33,5.33,0.58,0.5,0.33,0.25,2.25,1,2,0.5,0,0,0,0.58,0.92,0.636
Mardy Collins,Clippers,2009-2010,REG,43,10.94,2.58,0.3,0.86,1.16,1.02,0.53,0.02,0.74,1.05,1.09,2.98,0.367,0.09,0.4,0.235,0.3,0.49,0.619
James Collins,Clippers,1997-1998,REG,23,4.4,2.57,0.3,0.3,0.61,0.13,0.26,0.13,0.35,0.52,0.91,2.39,0.382,0.39,0.87,0.45,0.35,0.61,0.571
Jermaine O'Neal,Trail Blazers,1998-1999,REG,35,8.86,2.57,1.2,1.57,2.77,0.37,0.11,0.4,0.4,1.17,1.03,2.37,0.434,0,0.03,0,0.51,1,0.514
Jerome Kersey,Spurs,1998-1999,POFF,14,10.85,2.57,0.71,1.43,2.14,0.29,0.43,0.07,0.43,1.36,1.07,3.07,0.349,0.07,0.29,0.25,0.36,0.5,0.714
Rafael Araujo,Jazz,2006-2007,REG,28,8.84,2.57,0.79,1.57,2.36,0.36,0.21,0.07,0.61,1.39,0.96,2.32,0.415,0,0,0,0.64,1.04,0.621
Ryan Bowen,Rockets,2004-2005,POFF,7,17.29,2.57,1,1,2,0.86,0.86,0,0.86,3.29,1.14,3.57,0.32,0,0,0,0.29,0.43,0.667
Vladimir Stepania,Trail Blazers,2003-2004,REG,42,10.79,2.57,1.19,1.79,2.98,0.55,0.26,0.36,0.45,1.45,1.02,2.45,0.417,0,0,0,0.52,0.86,0.611
Ervin Johnson,Bucks,2001-2002,REG,81,20.47,2.57,1.75,4,5.75,0.33,0.46,1.01,0.64,2.7,1.1,2.38,0.461,0,0.01,0,0.37,0.81,0.455
Eric Mobley,Grizzlies,1996-1997,REG,28,10.96,2.57,1.07,1,2.07,0.5,0.18,0.36,1.04,1.57,1,2.25,0.444,0,0,0,0.57,1.07,0.533
Duane Causwell,Kings,1996-1997,REG,46,12.85,2.57,1.24,1.52,2.76,0.43,0.33,0.85,0.74,2.83,1.04,2.04,0.511,0.04,0.07,0.667,0.43,0.8,0.541
Marko Jaric,Grizzlies,2008-2009,REG,53,11.4,2.57,0.43,0.79,1.23,1.4,0.55,0.21,0.92,1.17,0.91,2.74,0.331,0.21,0.53,0.393,0.55,0.77,0.707
Eric Williams,"Spurs, Bobcats",2006-2007,REG,21,5.76,2.57,0.14,0.67,0.81,0.33,0.14,0,0.33,0.57,0.9,2.24,0.404,0.38,0.9,0.421,0.38,0.67,0.571
Sean Rooks,"Hornets, Magic",2003-2004,REG,55,10.67,2.56,0.44,1.33,1.76,0.53,0.25,0.18,0.4,1.62,0.98,2.75,0.358,0,0.02,0,0.6,0.67,0.892
Micheal Williams,Timberwolves,1997-1998,REG,25,6.48,2.56,0.08,0.48,0.56,1.28,0.36,0.08,0.64,0.96,0.64,1.92,0.333,0,0.16,0,1.28,1.32,0.97
Drew Barry,"Warriors, Hawks",1999-2000,REG,16,9.95,2.56,0,0.75,0.75,2.06,0.13,0,0.81,1.44,0.94,2.06,0.455,0.44,1.13,0.389,0.25,0.31,0.8
Kevin Willis,Spurs,2002-2003,POFF,18,5.01,2.56,1.06,0.67,1.72,0.11,0.06,0.06,0.44,0.89,1.17,2.22,0.525,0.06,0.06,1,0.17,0.17,1
Michael Ruffin,Wizards,2004-2005,POFF,9,17.37,2.56,1.67,2.44,4.11,1,0.33,0.33,0.44,3.67,0.78,1.11,0.7,0,0,0,1,1.78,0.562
Melvin Sanders,Spurs,2005-2006,REG,16,7.06,2.56,0.25,1.19,1.44,0.19,0.31,0,0.5,1.25,1,2.06,0.485,0.13,0.19,0.667,0.44,0.63,0.7
Ryan Anderson,Magic,2009-2010,POFF,9,9.88,2.56,0.89,2.56,3.44,0.33,0.22,0.22,0.56,1.33,1,3.22,0.31,0.44,1.56,0.286,0.11,0.11,1
Scott Padgett,Jazz,1999-2000,REG,47,9.22,2.55,0.51,1.36,1.87,0.53,0.3,0.17,0.47,1.17,0.94,2.98,0.314,0.28,0.94,0.295,0.4,0.57,0.704
Rick Mahorn,Pistons,1996-1997,REG,22,9.91,2.55,0.86,1.55,2.41,0.27,0.18,0.14,0.45,1.55,0.91,2.45,0.37,0,0.05,0,0.73,1,0.727
Jacque Vaughn,Nets,2005-2006,POFF,11,14.48,2.55,0.27,0.73,1,1.09,0.18,0,0.36,2.09,1.09,3,0.364,0,0.09,0,0.36,0.64,0.571
Marcus Banks,"Heat, Raptors",2008-2009,REG,22,9.35,2.55,0.05,0.77,0.82,1.27,0.5,0.09,0.64,1.18,0.95,2.59,0.368,0.14,0.86,0.158,0.5,0.82,0.611
James Jones,Heat,2011-2012,POFF,20,8.64,2.55,0.25,0.75,1,0.1,0.15,0.05,0.2,0.6,0.8,2.15,0.372,0.45,1.5,0.3,0.5,0.5,1
Donald Royal,"Magic, Hornets",1997-1998,REG,31,10.46,2.55,0.58,0.74,1.32,0.55,0.23,0.03,0.32,1.13,0.81,2.23,0.362,0,0,0,0.94,1.06,0.879
Vitaly Potapenko,"SuperSonics, Kings",2005-2006,REG,33,10.69,2.55,0.82,1.12,1.94,0.27,0.06,0.06,0.48,1.52,1.12,2.15,0.521,0,0,0,0.3,0.52,0.588
Pooh Richardson,Clippers,1998-1999,REG,11,12.01,2.55,0.09,1.09,1.18,2.73,0.36,0,0.82,0.45,1.09,3.27,0.333,0,0.55,0,0.36,0.36,1
Darrick Martin,Raptors,2005-2006,REG,40,8.47,2.55,0.05,0.45,0.5,1.43,0.43,0,0.38,1.05,0.85,2.43,0.351,0.4,1,0.4,0.45,0.6,0.75
Luis Scola,Raptors,2015-2016,POFF,11,12.75,2.55,0.18,1.45,1.64,0.64,0.27,0,0.45,2,0.73,2.82,0.258,0.36,1.91,0.19,0.73,1,0.727
Adreian Payne,Timberwolves,2015-2016,REG,52,9.34,2.54,0.4,1.75,2.15,0.56,0.31,0.21,0.69,1.48,1.02,2.79,0.366,0.17,0.62,0.281,0.33,0.5,0.654
Daniel Orton,Thunder,2012-2013,REG,13,7.99,2.54,1,1,2,0.31,0.31,0.23,0.31,1,0.92,2,0.462,0,0,0,0.69,1.31,0.529
William Avery,Timberwolves,2001-2002,REG,28,9.26,2.54,0.14,0.71,0.86,1.29,0.25,0,0.68,0.61,0.93,3.21,0.289,0.21,1.25,0.171,0.46,0.68,0.684
Ed Pinckney,Heat,1996-1997,REG,26,10.38,2.54,0.96,1.54,2.5,0.23,0.31,0.35,0.73,1.15,0.88,1.62,0.548,0,0,0,0.77,0.96,0.8
Adrian Griffin,Bulls,2006-2007,REG,54,10.83,2.54,0.74,1.28,2.02,1.09,0.59,0.07,0.7,1.44,1.13,2.39,0.473,0,0.11,0,0.28,0.35,0.789
Brian Cook,"Clippers, Wizards",2011-2012,REG,32,8.62,2.53,0.31,1.66,1.97,0.31,0.19,0.16,0.34,1.5,0.97,3.06,0.316,0.31,1.56,0.2,0.28,0.31,0.9
Hamed Haddadi,Grizzlies,2008-2009,REG,19,6.3,2.53,0.84,1.63,2.47,0.42,0.05,0.63,0.47,1.05,0.79,1.63,0.484,0,0,0,0.95,1.58,0.6
Matt Bonner,Spurs,2015-2016,REG,30,6.86,2.53,0.1,0.8,0.9,0.3,0.2,0.03,0.1,0.53,0.97,1.93,0.5,0.5,1.17,0.429,0.1,0.13,0.75
Lance Thomas,Hornets,2012-2013,REG,59,10.95,2.53,0.75,1.2,1.95,0.29,0.19,0.12,0.24,1.32,0.9,1.8,0.5,0,0,0,0.73,1,0.729
Dean Garrett,Timberwolves,2000-2001,REG,70,11.92,2.53,0.93,2.17,3.1,0.34,0.37,0.7,0.36,1.33,1.07,2.23,0.481,0,0,0,0.39,0.56,0.692
Jan Vesely,Wizards,2012-2013,REG,50,12.03,2.52,0.86,1.58,2.44,0.56,0.3,0.34,0.54,2.14,1.14,2.28,0.5,0,0.02,0,0.24,0.78,0.308
Ryan Bowen,Nuggets,1999-2000,REG,52,11.37,2.52,1.44,0.75,2.19,0.38,0.75,0.25,0.27,1.83,0.88,2.25,0.393,0.02,0.17,0.111,0.73,1.02,0.717
Lance Stephenson,Pacers,2011-2012,REG,42,10.53,2.52,0.29,0.98,1.26,1.1,0.5,0.12,0.86,0.71,1.12,2.98,0.376,0.1,0.71,0.133,0.19,0.4,0.471
Jake Tsakalidis,Grizzlies,2004-2005,REG,31,9.06,2.52,0.68,1.13,1.81,0.32,0.1,0.52,0.39,1.35,1.03,2.06,0.5,0,0,0,0.45,0.58,0.778
Jon Barry,Lakers,1997-1998,REG,48,7.73,2.52,0.17,0.6,0.77,1.06,0.5,0.06,0.46,0.69,0.79,2.17,0.365,0.38,1.27,0.295,0.56,0.6,0.931
Oliver Miller,Timberwolves,2003-2004,REG,48,10.52,2.52,0.96,1.75,2.71,0.75,0.4,0.54,0.69,1.9,1.1,2.08,0.53,0,0.02,0,0.31,0.48,0.652
John Thomas,Timberwolves,2004-2005,REG,44,11.86,2.52,0.89,1.32,2.2,0.39,0.34,0.3,0.41,1.86,0.95,1.95,0.488,0,0,0,0.61,1.05,0.587
Steven Hunter,Grizzlies,2009-2010,REG,21,7.52,2.52,0.86,1.14,2,0,0.05,0.48,0.43,0.48,0.81,2.05,0.395,0,0,0,0.9,1.71,0.528
Adam Keefe,Warriors,2000-2001,REG,67,12.54,2.51,1.34,1.78,3.12,0.54,0.42,0.3,0.6,1.52,0.96,2.37,0.403,0.01,0.04,0.333,0.58,0.94,0.619
Mark Jackson,Rockets,2003-2004,REG,41,13.9,2.51,0.24,1.46,1.71,2.88,0.41,0.02,1.24,1,0.83,2.44,0.34,0.17,1,0.171,0.68,0.95,0.718
Erick Dampier,Heat,2010-2011,REG,51,15.98,2.51,1.04,2.43,3.47,0.43,0.27,0.92,0.63,1.61,1.02,1.75,0.584,0,0.02,0,0.47,0.86,0.545
Will Perdue,Bulls,1999-2000,REG,67,15.12,2.51,1.31,2.6,3.91,0.94,0.21,0.63,1.16,1.88,0.88,2.51,0.351,0,0,0,0.75,1.57,0.476
Lazar Hayward,Timberwolves,2012-2013,REG,4,7.77,2.5,0,1,1,0.75,0.5,0,0,0.75,0.5,2.5,0.2,0,1,0,1.5,1.5,1
Amal McCaskill,Magic,1996-1997,POFF,2,3.71,2.5,0,1.5,1.5,0.5,0,0,0,0.5,1,1.5,0.667,0,0,0,0.5,1.5,0.333
John Wallace,Knicks,1996-1997,POFF,4,10.78,2.5,0.5,1.25,1.75,1.25,0.25,0.5,0.5,1.5,1,3.75,0.267,0,0.25,0,0.5,0.5,1
Reggie Geary,Spurs,1997-1998,REG,60,11.43,2.5,0.3,0.8,1.1,1.23,0.62,0.2,0.7,1.58,0.92,2.78,0.329,0.2,0.67,0.3,0.47,0.9,0.519
Corey Beck,Hornets,1997-1998,POFF,6,4.43,2.5,0.17,0,0.17,0,0.67,0,0.5,0.67,1,2,0.5,0.17,0.33,0.5,0.33,0.33,1
Oliver Miller,Kings,1998-1999,REG,4,8.69,2.5,1.75,0.25,2,0,0,0.5,1,0.75,1.25,2.75,0.455,0,0,0,0,0,0
Derrick Dial,Spurs,1999-2000,POFF,2,3.73,2.5,1,0,1,0,0,0,0,0.5,1,2,0.5,0,0,0,0.5,1,0.5
Lawrence Funderburke,Kings,1999-2000,POFF,4,8.3,2.5,1,1.75,2.75,0,0.25,0,0,0,1,2.25,0.444,0,0,0,0.5,1,0.5
Ruben Wolkowyski,SuperSonics,2000-2001,REG,30,7.46,2.5,0.4,1.1,1.5,0.1,0.17,0.57,0.4,1.23,0.83,2.57,0.325,0,0.07,0,0.83,1.13,0.735
Jeff Foster,Pacers,2000-2001,POFF,4,12.95,2.5,0.75,2.25,3,0.5,0,0.75,1,2,1,2.25,0.444,0,0,0,0.5,0.5,1
Rasho Nesterovic,Timberwolves,2000-2001,POFF,4,12.32,2.5,1.25,1.75,3,0.75,0.25,0.75,0.75,2.25,1.25,3.25,0.385,0,0,0,0,0,0
Kedrick Brown,Celtics,2001-2002,POFF,2,1.23,2.5,0,0,0,0,0,0.5,0,0,1,1,1,0.5,0.5,1,0,0,0
Wang Zhi-zhi,Mavericks,2001-2002,POFF,8,5.39,2.5,0.63,0.38,1,0.38,0,0.13,0,1.38,0.88,2,0.438,0.38,0.75,0.5,0.38,0.75,0.5
Tom Gugliotta,Suns,2002-2003,POFF,2,4.87,2.5,0,1,1,0,0,0,0,1,1,2,0.5,0,0,0,0.5,1,0.5
Leandro Barbosa,Suns,2004-2005,POFF,12,9.65,2.5,0.42,1,1.42,1,0.25,0,0.42,0.67,1,2.92,0.343,0.33,0.83,0.4,0.17,0.33,0.5
Bobby Jones,Sixers,2006-2007,REG,44,7.63,2.5,0.5,0.8,1.3,0.36,0.25,0.02,0.41,1.34,0.98,2.11,0.462,0.02,0.2,0.111,0.52,0.93,0.561
Ronald Murray,Pistons,2006-2007,POFF,12,11.32,2.5,0.17,0.58,0.75,1.17,0.33,0.08,0.67,1,0.92,2.58,0.355,0,0.17,0,0.67,0.92,0.727
Sergio Rodriguez,Trail Blazers,2007-2008,REG,72,8.72,2.5,0.18,0.63,0.81,1.71,0.33,0,0.74,0.79,0.96,2.72,0.352,0.24,0.81,0.293,0.35,0.53,0.658
Lou Amundson,76ers,2007-2008,POFF,2,5.17,2.5,2.5,1,3.5,0,0,0,0,1,1,2,0.5,0,0,0,0.5,1,0.5
Paul Davis,Wizards,2009-2010,REG,2,3.99,2.5,0,0,0,1.5,0,0.5,0,0,1,2,0.5,0,0,0,0.5,1,0.5
Dwayne Jones,Suns,2009-2010,POFF,2,4.81,2.5,0.5,2,2.5,0,0,0,0.5,0,0.5,1,0.5,0,0,0,1.5,2,0.75
Hamed Haddadi,Grizzlies,2010-2011,REG,30,5.61,2.5,0.8,1.47,2.27,0.17,0.07,0.43,0.37,0.97,1,1.93,0.517,0,0.03,0,0.5,0.77,0.652
Blake Ahearn,Jazz,2011-2012,REG,4,7.6,2.5,0,0.5,0.5,0.25,0,0,1.25,1,1,3.5,0.286,0.5,2.25,0.222,0,0,0
Josh Harrellson,Knicks,2011-2012,POFF,4,6.21,2.5,0.75,1.25,2,0,0,0,0.5,1.5,1,2.25,0.444,0,0.25,0,0.5,0.5,1
Darius Morris,Lakers,2011-2012,POFF,4,2.1,2.5,0,0,0,0.75,0,0,0.25,0.25,0.75,0.75,1,0.25,0.25,1,0.75,1,0.75
Shelvin Mack,"Hawks, Wizards, Sixers",2012-2013,POFF,4,5.52,2.5,0.75,1,1.75,1.75,0,0,0,0,1,2.25,0.444,0.5,1.25,0.4,0,0,0
Dennis Schroeder,Hawks,2013-2014,POFF,2,3.51,2.5,0,1,1,0,0,0,0,0.5,1,1,1,0.5,0.5,1,0,0,0
Donnie Boyce,Hawks,1996-1997,REG,22,7,2.5,0.32,0.36,0.68,0.59,0.45,0.18,0.73,0.77,0.95,2.86,0.333,0.09,0.73,0.125,0.5,1,0.5
Pervis Ellison,Celtics,1996-1997,REG,6,20.67,2.5,1.5,2.83,4.33,0.67,0.83,1.5,1.17,3.5,1,2.67,0.375,0,0,0,0.5,0.83,0.6
Tim Hardaway,Heat,2000-2001,POFF,2,17.89,2.5,0.5,0.5,1,4.5,0,0,4,2,1,4.5,0.222,0.5,1.5,0.333,0,0,0
Robert Traylor,Hornets,2003-2004,POFF,4,9.65,2.5,0.25,2.25,2.5,0.25,0.75,0.25,0.5,2,1,2.25,0.444,0,0,0,0.5,0.75,0.667
Maceo Baston,Raptors,2002-2003,REG,16,6.5,2.5,0.25,1.19,1.44,0,0.25,0.69,0.38,1,0.94,1.56,0.6,0,0,0,0.63,0.75,0.833
Carlos Rogers,Trail Blazers,1998-1999,REG,2,4.07,2.5,0,0.5,0.5,0.5,0,0,0,1,1,1,1,0,0,0,0.5,2,0.25
Paul Grant,Jazz,2003-2004,REG,10,9.65,2.5,0.7,1,1.7,0.3,0.1,0.1,0.7,1.7,1.1,2.3,0.478,0,0,0,0.3,0.8,0.375
Austin Croshere,Pacers,2004-2005,POFF,10,8.62,2.5,0.7,1,1.7,0,0.4,0.1,0.6,1,0.4,1,0.4,0.2,0.4,0.5,1.5,1.8,0.833
Nazr Mohammed,Pistons,2006-2007,POFF,2,2.87,2.5,0.5,1,1.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,1.5,1.5,1
Keith Askins,Heat,1996-1997,POFF,12,12.37,2.5,0.92,1.42,2.33,0.58,0.25,0.17,0.25,2.17,0.83,1.92,0.435,0.5,1,0.5,0.33,0.33,1
Anthony Miller,Rockets,1998-1999,REG,28,8.83,2.5,0.93,1.46,2.39,0.25,0.25,0.18,0.32,1.21,1,2.14,0.467,0,0.04,0,0.5,0.79,0.636
Marcus Haislip,Spurs,2009-2010,REG,10,4.38,2.5,0.4,0.6,1,0,0,0.2,0.3,0.5,1,2.1,0.476,0.3,0.5,0.6,0.2,0.5,0.4
Udonis Haslem,Heat,2013-2014,POFF,16,10.54,2.5,0.75,1.81,2.56,0.25,0.06,0.19,0.06,1.75,1.06,2.31,0.459,0,0,0,0.38,0.63,0.6
Antonio Harvey,SuperSonics,1996-1997,REG,6,4.5,2.5,0.33,1.33,1.67,0.17,0,0.67,0.17,1.33,0.83,1.83,0.455,0,0,0,0.83,1,0.833
Chris Dudley,Knicks,1998-1999,REG,46,14.89,2.5,1.72,2.48,4.2,0.15,0.28,0.83,0.52,2.52,1.04,2.37,0.44,0,0,0,0.41,0.87,0.475
Speedy Claxton,Hawks,2008-2009,REG,2,7.54,2.5,0,0,0,1.5,0,0,0,0.5,1,3.5,0.286,0,0,0,0.5,1,0.5
Luke Ridnour,"Bucks, Bobcats",2013-2014,POFF,4,9.12,2.5,0,1,1,3,0,0.25,1,0.25,1,3.25,0.308,0.5,1.5,0.333,0,0,0
Scott Burrell,Hornets,2000-2001,POFF,2,6.13,2.5,0,1.5,1.5,0.5,1,0,0,0,1,1.5,0.667,0,0.5,0,0.5,1,0.5
Gary Grant,Trail Blazers,2000-2001,REG,4,4.29,2.5,0,0,0,0.25,0,0,0,0.25,1.25,1.75,0.714,0,0,0,0,0,0
Sasha Vujacic,Clippers,2013-2014,REG,2,5.19,2.5,0,1.5,1.5,0,0.5,0,1.5,0.5,1,2.5,0.4,0.5,1,0.5,0,0,0
Anfernee Hardaway,Knicks,2005-2006,REG,4,17.94,2.5,0,2.5,2.5,2,0.5,0,1.5,1.75,1,3.5,0.286,0,0.25,0,0.5,0.5,1
Theo Ratliff,Celtics,2006-2007,REG,2,21.84,2.5,1,2.5,3.5,0,0.5,1.5,0.5,3,0.5,1.5,0.333,0,0,0,1.5,2,0.75
Andrei Kirilenko,Nets,2013-2014,POFF,10,14.45,2.5,1,1.3,2.3,1,1,0.3,0.3,1.1,0.7,1.5,0.467,0,0,0,1.1,1.7,0.647
Russ Smith,"Pelicans, Grizzlies",2014-2015,REG,12,5.42,2.5,0.08,0.42,0.5,0.67,0.25,0,1,1.08,0.67,2.08,0.32,0.17,0.92,0.182,1,1.08,0.923
Greg Anthony,Trail Blazers,2000-2001,POFF,2,8.33,2.5,0,0,0,0,0.5,0,0.5,1,1,3,0.333,0.5,1.5,0.333,0,0,0
Tony Bobbitt,Lakers,2004-2005,REG,2,5.97,2.5,0,1.5,1.5,0,0,0,0,0.5,1,2.5,0.4,0.5,1,0.5,0,0,0
John Jenkins,Hawks,2014-2015,POFF,4,5.35,2.5,0.25,0.5,0.75,0,0,0,0,0.5,1,1.5,0.667,0.5,1,0.5,0,0,0
Lorenzo Brown,"Suns, Pistons",2015-2016,REG,8,7.59,2.5,0,0.88,0.88,1.38,0.38,0.13,1.13,0.5,1,3.13,0.32,0.13,1,0.125,0.38,0.5,0.75
PJ Hairston,"Hornets, Grizzlies",2015-2016,POFF,2,11.09,2.5,0,0,0,0,0.5,0,0.5,0.5,1,3,0.333,0.5,1.5,0.333,0,1,0
Aron Baynes,Pistons,2015-2016,POFF,4,10.99,2.5,0.75,1.25,2,0.5,0,0,0.75,1,1,2.25,0.444,0,0,0,0.5,0.75,0.667
Sonny Weems,"Suns, 76ers",2015-2016,REG,43,11.59,2.49,0.16,1.07,1.23,1.14,0.23,0.02,0.95,1.09,0.98,2.58,0.378,0.35,0.98,0.357,0.19,0.35,0.533
Jarron Collins,Jazz,2006-2007,REG,82,11.13,2.49,0.87,1.22,2.09,0.73,0.16,0.1,0.45,1.79,0.91,2.07,0.441,0,0,0,0.66,1.01,0.651
Alan Henderson,Cavaliers,2005-2006,REG,51,10.41,2.49,1.18,1.51,2.69,0.2,0.18,0.24,0.43,1.14,0.92,1.78,0.517,0,0,0,0.65,0.96,0.674
Robert Horry,Spurs,2007-2008,REG,45,12.95,2.49,0.78,1.64,2.42,1.04,0.47,0.42,0.49,1.22,0.84,2.64,0.319,0.4,1.56,0.257,0.4,0.62,0.643
Kurt Thomas,Knicks,2012-2013,REG,39,10.06,2.49,0.62,1.67,2.28,0.54,0.26,0.41,0.21,1.33,1.15,2.13,0.542,0.03,0.03,1,0.15,0.33,0.461
Eddie House,Celtics,2007-2008,POFF,21,7.86,2.48,0.1,0.95,1.05,0.86,0.24,0.05,0.19,0.62,0.81,2.67,0.304,0.52,1.48,0.355,0.33,0.38,0.875
Maceo Baston,Pacers,2008-2009,REG,27,8.04,2.48,0.81,1.11,1.93,0.26,0.22,0.37,0.44,1.44,0.93,1.7,0.543,0,0.04,0,0.63,1,0.63
Tony Farmer,Hornets,1997-1998,REG,27,6.3,2.48,0.59,0.59,1.19,0.19,0.37,0.15,0.33,0.85,0.63,1.96,0.321,0.07,0.33,0.222,1.15,1.44,0.795
Kendrick Perkins,Celtics,2004-2005,REG,60,9.08,2.48,0.88,2.05,2.93,0.35,0.15,0.62,0.72,1.63,0.93,1.98,0.471,0,0,0,0.62,0.97,0.638
Rawle Marshall,Pacers,2006-2007,REG,40,9.03,2.48,0.2,0.53,0.73,0.33,0.3,0.13,0.48,0.55,0.8,2.23,0.36,0.1,0.45,0.222,0.78,1.13,0.689
Jeff Adrien,Warriors,2010-2011,REG,23,8.52,2.48,1,1.52,2.52,0.43,0.17,0.22,0.39,1.22,1,2.35,0.426,0,0,0,0.48,0.83,0.579
Jahidi White,Bobcats,2004-2005,REG,17,6.97,2.47,0.65,1.35,2,0.06,0.12,0.71,0.65,1.82,0.82,1.82,0.452,0,0,0,0.82,2.35,0.35
Brian Cook,"Magic, Rockets",2008-2009,REG,30,5.68,2.47,0.23,0.83,1.07,0.17,0.1,0.1,0.43,0.87,0.93,2.53,0.368,0.43,1,0.433,0.17,0.2,0.834
John Crotty,Heat,1996-1997,POFF,15,8.72,2.47,0.33,0.4,0.73,0.73,0.27,0,0.93,1,0.87,2.2,0.394,0.33,0.8,0.417,0.4,0.47,0.857
Rashard Lewis,SuperSonics,1998-1999,REG,19,7.7,2.47,0.68,0.63,1.32,0.21,0.37,0.05,1.05,1,1,2.74,0.365,0.05,0.32,0.167,0.42,0.74,0.572
Adrian Griffin,Mavericks,2002-2003,POFF,15,8.74,2.47,1.13,1.8,2.93,0.53,0.27,0,0.6,1.6,1.13,2.73,0.415,0.07,0.2,0.334,0.13,0.13,1
Anthony Johnson,Nets,2002-2003,POFF,17,7.1,2.47,0.18,0.53,0.71,1.12,0.12,0,0.47,0.88,1,1.82,0.548,0.18,0.35,0.5,0.29,0.35,0.833
Qyntel Woods,Trail Blazers,2002-2003,REG,52,6.43,2.46,0.29,0.73,1.02,0.23,0.29,0.02,0.44,0.69,1.13,2.27,0.5,0.06,0.17,0.333,0.13,0.38,0.35
Jamison Brewer,Pacers,2003-2004,REG,13,12.45,2.46,0.15,0.69,0.85,1.31,0.54,0,0.77,0.69,1,2.69,0.371,0.38,1.08,0.357,0.08,0.46,0.167
Pablo Prigioni,Clippers,2015-2016,REG,59,13.94,2.46,0.64,1.29,1.93,2.2,0.9,0.02,0.83,1.39,0.93,2.49,0.374,0.47,1.61,0.295,0.12,0.14,0.875
Kendrick Perkins,Pelicans,2015-2016,REG,37,14.65,2.46,0.68,2.78,3.46,0.84,0.3,0.3,1.11,1.73,1.08,2.03,0.533,0,0,0,0.3,0.68,0.44
